,P1,P2,P1 Score,P2 Score
578,NFSP,DMC,-0.0334,0.0334
579,Random,DQN,-0.1244,0.1244
580,DQN,NFSP,0.13,-0.13
581,Rule Model,Rule Model,0.002,-0.002
582,DQN,DMC,0.0736,-0.0736
583,Rule Model,DQN,-0.0406,0.0406
584,NFSP,NFSP,0.0152,-0.0152
585,DQN,NFSP,0.121,-0.121
586,NFSP,DMC,-0.0264,0.0264
587,Random,Random,0.0212,-0.0212
588,Rule Model,DMC,0.0566,-0.0566
589,NFSP,DQN,-0.0916,0.0916
590,Rule Model,DQN,-0.0104,0.0104
591,Random,Rule Model,-0.0966,0.0966
592,NFSP,NFSP,0.0426,-0.0426
593,Random,Rule Model,-0.0966,0.0966
594,Rule Model,DQN,-0.0104,0.0104
595,NFSP,DQN,-0.0916,0.0916
596,Rule Model,DMC,0.0516,-0.0516
597,Random,Random,0.0212,-0.0212
598,NFSP,NFSP,-0.016,0.016
599,DQN,NFSP,0.121,-0.121
600,DQN,DQN,0.0486,-0.0486
601,DQN,DMC,0.1138,-0.1138
602,Rule Model,DQN,-0.0242,0.0242
603,DQN,Random,0.1294,-0.1294
604,DMC,DMC,0.0258,-0.0258
605,DQN,NFSP,0.1388,-0.1388
606,Random,DQN,-0.1116,0.1116
607,NFSP,DMC,-0.0442,0.0442
608,DMC,DQN,-0.0532,0.0532
609,NFSP,DQN,-0.11,0.11
610,NFSP,Rule Model,-0.0918,0.0918
611,DQN,Rule Model,0.0234,-0.0234
612,DQN,DQN,0.0052,-0.0052
613,DQN,DQN,0.0048,-0.0048
614,Rule Model,DMC,0.0826,-0.0826
615,NFSP,NFSP,0.0096,-0.0096
616,Rule Model,DMC,0.0748,-0.0748
617,DQN,DQN,0.0048,-0.0048
618,DQN,DMC,0.0554,-0.0554
619,DQN,Rule Model,0.0234,-0.0234
620,NFSP,Rule Model,-0.0918,0.0918
621,DMC,DQN,-0.0766,0.0766
622,NFSP,DQN,-0.101,0.101
623,DMC,DMC,-0.0036,0.0036
624,DMC,DQN,-0.0484,0.0484
625,NFSP,DMC,-0.0322,0.0322
626,Random,DQN,-0.1288,0.1288
627,DQN,NFSP,0.1496,-0.1496
628,DMC,DMC,0.022,-0.022
629,DQN,Random,0.1536,-0.1536
630,DQN,DMC,0.1026,-0.1026
631,DQN,DQN,0.0258,-0.0258
632,DQN,NFSP,0.121,-0.121
633,Rule Model,DMC,0.0698,-0.0698
634,NFSP,DMC,-0.0254,0.0254
635,Random,Random,0.0212,-0.0212
636,Rule Model,DQN,-0.0104,0.0104
637,NFSP,DQN,-0.0916,0.0916
638,Random,Rule Model,-0.0966,0.0966
639,NFSP,NFSP,0.0236,-0.0236
